image_path,transcription,prediction,correct_prediction,wer,cer
data/0_input/handout-modified/train/0.png,da,dla,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/1.png,CONSEJOS,CO,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/2.png,buen,buen,True,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/4.png,calidad,calidad,True,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/5.png,feccion,secion,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/6.png,mayor.,maor,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/8.png,dichoso,deeonso,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/9.png,"teles,","tles,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/10.png,"observase,",aeerale,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/11.png,"honra,",os,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/15.png,desde,cos,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/16.png,"mundo,",mia,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/18.png,Fiesta,liesa,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/21.png,alabareys.,"aalaeys,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/22.png,enfadados,"enadalos,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/25.png,fundamen,sundeon,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/26.png,"deuda,",eua,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/27.png,tienen,tos,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/28.png,cio,cio,True,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/29.png,"entienden,",eniees,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/31.png,"descorteses,",lerees,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/32.png,cabezas,calras,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/37.png,gloria.,"eslia,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/39.png,seguir,suo,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/42.png,viendole,eendole,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/43.png,cente,"conte,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/46.png,"excelente,",exelte,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/47.png,consiste,"Conto,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/50.png,efecto,tae,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/51.png,"pues,","peos,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/52.png,Angeles,ctos,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/55.png,su,caa,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/56.png,seguidor,sesidor,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/58.png,tiernos,tenos,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/60.png,grandezas,es,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/61.png,quien,ques,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/63.png,soberania,"iia,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/65.png,Oficios,Caios,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/66.png,posseen.,posseeyn,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/68.png,gra-,pao,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/69.png,"Francisco,",encisros,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/70.png,"das,",tas,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/71.png,enton-,conri-,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/72.png,"cubran,",abman,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/74.png,sujeto,lulo,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/75.png,"Pontifice,","Poniter,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/76.png,vuestra,"peesia,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/77.png,"ter,","t,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/78.png,pinas,"pras,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/81.png,buenos,benos,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/82.png,una,tia,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/83.png,los,mia-,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/86.png,aprovecha-,aedas,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/87.png,"visto,",vio,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/88.png,"mitas,","patas,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/90.png,plead,ll,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/92.png,Doctos:,poos,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/94.png,"Señor,",Seño,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/95.png,providencia,prileeio,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/96.png,obtenerse,"iesa,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/97.png,cuydar,coddar,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/99.png,creyendo,enendo,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/100.png,chos,Soñon,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/105.png,"Ilustres,",Tistes,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/108.png,"podays,","podys,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/109.png,amparo,amros,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/110.png,nima,tiza,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/111.png,acopanava,epte,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/112.png,respetad,nan,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/113.png,Oyd,Cd,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/116.png,Propheta;,limeta,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/117.png,si-,ar,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/118.png,Vuestra,pestaa,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/120.png,aunque,todos,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/121.png,tampoco,tao,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/122.png,"afeminados,","eiios,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/123.png,perar,pear,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/124.png,"Fortaleza,","Sotalra,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/125.png,"mayor,","maor,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/126.png,"rectamente,","ete,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/127.png,"Sacramento,","areion,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/128.png,"menos,",moneos,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/129.png,seria,lazer,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/131.png,sufrir,site,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/132.png,ble,lle,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/133.png,"noble,","nte,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/136.png,ponde-,soo,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/137.png,mentado,etado,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/139.png,y,S,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/140.png,cando,cado,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/142.png,Esto,"cos,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/144.png,aya,aa,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/149.png,esti-,ei-,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/150.png,cumplir,emar,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/151.png,Señor,Señor,True,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/153.png,hecho,heo,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/155.png,apostatar,ao,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/156.png,"oro,",ao,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/157.png,Angel,Ael,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/160.png,gente,"gute,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/162.png,hablad,habtad,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/163.png,"encia,","seia,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/164.png,"tamente,","tare,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/167.png,contentaos,pristades,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/169.png,"Dios,",peia,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/170.png,quanto,(des,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/171.png,raleza,talra,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/173.png,elegir,esiar,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/175.png,recogido,eiado,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/176.png,"Socrates,","Soctos,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/177.png,EN,EN,True,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/178.png,tial,til,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/179.png,"zer,",ae,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/180.png,des,"ds,",False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/182.png,"inchado,",bontado,False,0.9467213114754098,0.49669430160562494
data/0_input/handout-modified/train/184.png,devotos,etos,False,0.9467213114754098,0.49669430160562494
