image_path,transcription,prediction
data/0_input/handout-modified/train/0.png,da,dla
data/0_input/handout-modified/train/1.png,CONSEJOS,CO
data/0_input/handout-modified/train/2.png,buen,buen
data/0_input/handout-modified/test/3.png,,oad
data/0_input/handout-modified/train/4.png,calidad,calidad
data/0_input/handout-modified/train/5.png,feccion,secion
data/0_input/handout-modified/train/6.png,mayor.,maor
data/0_input/handout-modified/test/7.png,,mate
data/0_input/handout-modified/train/8.png,dichoso,deeonso
data/0_input/handout-modified/train/9.png,"teles,","tles,"
data/0_input/handout-modified/train/10.png,"observase,",aeerale
data/0_input/handout-modified/train/11.png,"honra,",os
data/0_input/handout-modified/test/12.png,,to
data/0_input/handout-modified/test/13.png,,"espiaes,"
data/0_input/handout-modified/test/14.png,,"ados,"
data/0_input/handout-modified/train/15.png,desde,cos
data/0_input/handout-modified/train/16.png,"mundo,",mia
data/0_input/handout-modified/test/17.png,,"quta,"
data/0_input/handout-modified/train/18.png,Fiesta,liesa
data/0_input/handout-modified/test/19.png,,ples
data/0_input/handout-modified/test/20.png,,nonio
data/0_input/handout-modified/train/21.png,alabareys.,"aalaeys,"
data/0_input/handout-modified/train/22.png,enfadados,"enadalos,"
data/0_input/handout-modified/test/23.png,,"eton,"
data/0_input/handout-modified/test/24.png,,tao
data/0_input/handout-modified/train/25.png,fundamen,sundeon
data/0_input/handout-modified/train/26.png,"deuda,",eua
data/0_input/handout-modified/train/27.png,tienen,tos
data/0_input/handout-modified/train/28.png,cio,cio
data/0_input/handout-modified/train/29.png,"entienden,",eniees
data/0_input/handout-modified/test/30.png,,tite
data/0_input/handout-modified/train/31.png,"descorteses,",lerees
data/0_input/handout-modified/train/32.png,cabezas,calras
data/0_input/handout-modified/test/33.png,,qui-
data/0_input/handout-modified/test/34.png,,cada
data/0_input/handout-modified/test/35.png,,"es,"
data/0_input/handout-modified/test/36.png,,omsos
data/0_input/handout-modified/train/37.png,gloria.,"eslia,"
data/0_input/handout-modified/test/38.png,,tos
data/0_input/handout-modified/train/39.png,seguir,suo
data/0_input/handout-modified/test/40.png,,"entos,"
data/0_input/handout-modified/test/41.png,,(o
data/0_input/handout-modified/train/42.png,viendole,eendole
data/0_input/handout-modified/train/43.png,cente,"conte,"
data/0_input/handout-modified/test/44.png,,cs
data/0_input/handout-modified/test/45.png,,sertar
data/0_input/handout-modified/train/46.png,"excelente,",exelte
data/0_input/handout-modified/train/47.png,consiste,"Conto,"
data/0_input/handout-modified/test/48.png,,Pitos
data/0_input/handout-modified/test/49.png,,t
data/0_input/handout-modified/train/50.png,efecto,tae
data/0_input/handout-modified/train/51.png,"pues,","peos,"
data/0_input/handout-modified/train/52.png,Angeles,ctos
data/0_input/handout-modified/test/53.png,,proar
data/0_input/handout-modified/test/54.png,,pao
data/0_input/handout-modified/train/55.png,su,caa
data/0_input/handout-modified/train/56.png,seguidor,sesidor
data/0_input/handout-modified/test/57.png,,despoes
data/0_input/handout-modified/train/58.png,tiernos,tenos
data/0_input/handout-modified/test/59.png,,tao
data/0_input/handout-modified/train/60.png,grandezas,es
data/0_input/handout-modified/train/61.png,quien,ques
data/0_input/handout-modified/test/62.png,,sie
data/0_input/handout-modified/train/63.png,soberania,"iia,"
data/0_input/handout-modified/test/64.png,,t
data/0_input/handout-modified/train/65.png,Oficios,Caios
data/0_input/handout-modified/train/66.png,posseen.,posseeyn
data/0_input/handout-modified/test/67.png,,dios
data/0_input/handout-modified/train/68.png,gra-,pao
data/0_input/handout-modified/train/69.png,"Francisco,",encisros
data/0_input/handout-modified/train/70.png,"das,",tas
data/0_input/handout-modified/train/71.png,enton-,conri-
data/0_input/handout-modified/train/72.png,"cubran,",abman
data/0_input/handout-modified/test/73.png,,tes
data/0_input/handout-modified/train/74.png,sujeto,lulo
data/0_input/handout-modified/train/75.png,"Pontifice,","Poniter,"
data/0_input/handout-modified/train/76.png,vuestra,"peesia,"
data/0_input/handout-modified/train/77.png,"ter,","t,"
data/0_input/handout-modified/train/78.png,pinas,"pras,"
data/0_input/handout-modified/test/79.png,,hton
data/0_input/handout-modified/test/80.png,,da
data/0_input/handout-modified/train/81.png,buenos,benos
data/0_input/handout-modified/train/82.png,una,tia
data/0_input/handout-modified/train/83.png,los,mia-
data/0_input/handout-modified/test/84.png,,taes
data/0_input/handout-modified/test/85.png,,voda
data/0_input/handout-modified/train/86.png,aprovecha-,aedas
data/0_input/handout-modified/train/87.png,"visto,",vio
data/0_input/handout-modified/train/88.png,"mitas,","patas,"
data/0_input/handout-modified/test/89.png,,tia
data/0_input/handout-modified/train/90.png,plead,ll
data/0_input/handout-modified/test/91.png,,ae
data/0_input/handout-modified/train/92.png,Doctos:,poos
data/0_input/handout-modified/test/93.png,,tertas
data/0_input/handout-modified/train/94.png,"Señor,",Seño
data/0_input/handout-modified/train/95.png,providencia,prileeio
data/0_input/handout-modified/train/96.png,obtenerse,"iesa,"
data/0_input/handout-modified/train/97.png,cuydar,coddar
data/0_input/handout-modified/test/98.png,,pendos
data/0_input/handout-modified/train/99.png,creyendo,enendo
data/0_input/handout-modified/train/100.png,chos,Soñon
data/0_input/handout-modified/test/101.png,,t
data/0_input/handout-modified/test/102.png,,mieo
data/0_input/handout-modified/test/103.png,,tia
data/0_input/handout-modified/test/104.png,,"esial,"
data/0_input/handout-modified/train/105.png,"Ilustres,",Tistes
data/0_input/handout-modified/test/106.png,,lles
data/0_input/handout-modified/test/107.png,,beados
data/0_input/handout-modified/train/108.png,"podays,","podys,"
data/0_input/handout-modified/train/109.png,amparo,amros
data/0_input/handout-modified/train/110.png,nima,tiza
data/0_input/handout-modified/train/111.png,acopanava,epte
data/0_input/handout-modified/train/112.png,respetad,
data/0_input/handout-modified/train/113.png,Oyd,Cd
data/0_input/handout-modified/test/114.png,,"aa,"
data/0_input/handout-modified/test/115.png,,to
data/0_input/handout-modified/train/116.png,Propheta;,limeta
data/0_input/handout-modified/train/117.png,si-,ar
data/0_input/handout-modified/train/118.png,Vuestra,pestaa
data/0_input/handout-modified/test/119.png,,to-
data/0_input/handout-modified/train/120.png,aunque,todos
data/0_input/handout-modified/train/121.png,tampoco,tao
data/0_input/handout-modified/train/122.png,"afeminados,","eiios,"
data/0_input/handout-modified/train/123.png,perar,pear
data/0_input/handout-modified/train/124.png,"Fortaleza,","Sotalra,"
data/0_input/handout-modified/train/125.png,"mayor,","maor,"
data/0_input/handout-modified/train/126.png,"rectamente,","ete,"
data/0_input/handout-modified/train/127.png,"Sacramento,","areion,"
data/0_input/handout-modified/train/128.png,"menos,",moneos
data/0_input/handout-modified/train/129.png,seria,lazer
data/0_input/handout-modified/test/130.png,,taos
data/0_input/handout-modified/train/131.png,sufrir,site
data/0_input/handout-modified/train/132.png,ble,lle
data/0_input/handout-modified/train/133.png,"noble,","nte,"
data/0_input/handout-modified/test/134.png,,tales
data/0_input/handout-modified/test/135.png,,(a
data/0_input/handout-modified/train/136.png,ponde-,soo
data/0_input/handout-modified/train/137.png,mentado,etado
data/0_input/handout-modified/test/138.png,,diias
data/0_input/handout-modified/train/139.png,y,S
data/0_input/handout-modified/train/140.png,cando,cado
data/0_input/handout-modified/test/141.png,,seron
data/0_input/handout-modified/train/142.png,Esto,"cos,"
data/0_input/handout-modified/test/143.png,,tdo
data/0_input/handout-modified/train/144.png,aya,aa
data/0_input/handout-modified/test/145.png,,praanios
data/0_input/handout-modified/test/146.png,,siia
data/0_input/handout-modified/test/147.png,,a
data/0_input/handout-modified/test/148.png,,tios
data/0_input/handout-modified/train/149.png,esti-,ei-
data/0_input/handout-modified/train/150.png,cumplir,emar
data/0_input/handout-modified/train/151.png,Señor,Señor
data/0_input/handout-modified/test/152.png,,hua
data/0_input/handout-modified/train/153.png,hecho,heo
data/0_input/handout-modified/test/154.png,,m
data/0_input/handout-modified/train/155.png,apostatar,ao
data/0_input/handout-modified/train/156.png,"oro,",ao
data/0_input/handout-modified/train/157.png,Angel,Ael
data/0_input/handout-modified/test/158.png,,aia
