file_name,transcription,prediction
data/0_input/handout-modified/train/0.png,da,
data/0_input/handout-modified/train/1.png,CONSEJOS,"CONSEJOS
"
data/0_input/handout-modified/train/2.png,buen,
data/0_input/handout-modified/test/3.png,,
data/0_input/handout-modified/train/4.png,calidad,"calidad
"
data/0_input/handout-modified/train/5.png,feccion,"\teccion
"
data/0_input/handout-modified/train/6.png,mayor.,
data/0_input/handout-modified/test/7.png,,"mugeres
"
data/0_input/handout-modified/train/8.png,dichoso,"dichoſo
"
data/0_input/handout-modified/train/9.png,"teles,",
data/0_input/handout-modified/train/10.png,"observase,","ob{erimtale
"
data/0_input/handout-modified/train/11.png,"honra,",
data/0_input/handout-modified/test/12.png,,
data/0_input/handout-modified/test/13.png,,"cíperarle,y
"
data/0_input/handout-modified/test/14.png,,
data/0_input/handout-modified/train/15.png,desde,
data/0_input/handout-modified/train/16.png,"mundo,",
data/0_input/handout-modified/test/17.png,,"que
"
data/0_input/handout-modified/train/18.png,Fiesta,"Fieſta
"
data/0_input/handout-modified/test/19.png,,
data/0_input/handout-modified/test/20.png,,"COntrariis
"
data/0_input/handout-modified/train/21.png,alabareys.,"alabarevs.
"
data/0_input/handout-modified/train/22.png,enfadados,"enfadados
"
data/0_input/handout-modified/test/23.png,,
data/0_input/handout-modified/test/24.png,,"can
"
data/0_input/handout-modified/train/25.png,fundamen,"fundamen
"
data/0_input/handout-modified/train/26.png,"deuda,","denda v
"
data/0_input/handout-modified/train/27.png,tienen,
data/0_input/handout-modified/train/28.png,cio,"IO
"
data/0_input/handout-modified/train/29.png,"entienden,","encienden
"
data/0_input/handout-modified/test/30.png,,
data/0_input/handout-modified/train/31.png,"descorteses,",
data/0_input/handout-modified/train/32.png,cabezas,"Cabvecas
"
data/0_input/handout-modified/test/33.png,,"quí
"
data/0_input/handout-modified/test/34.png,,"cada
"
data/0_input/handout-modified/test/35.png,,
data/0_input/handout-modified/test/36.png,,"ocupacion,
"
data/0_input/handout-modified/train/37.png,gloria.,"gloria.
"
data/0_input/handout-modified/test/38.png,,
data/0_input/handout-modified/train/39.png,seguir,"ſ=gua Ta
"
data/0_input/handout-modified/test/40.png,,
data/0_input/handout-modified/test/41.png,,
data/0_input/handout-modified/train/42.png,viendole,"viendole
"
data/0_input/handout-modified/train/43.png,cente,
data/0_input/handout-modified/test/44.png,,
data/0_input/handout-modified/test/45.png,,
data/0_input/handout-modified/train/46.png,"excelente,","excelente
"
data/0_input/handout-modified/train/47.png,consiste,"Ciceron.
"
data/0_input/handout-modified/test/48.png,,
data/0_input/handout-modified/test/49.png,,
data/0_input/handout-modified/train/50.png,efecto,
data/0_input/handout-modified/train/51.png,"pues,",
data/0_input/handout-modified/train/52.png,Angeles,
data/0_input/handout-modified/test/53.png,,"porque
"
data/0_input/handout-modified/test/54.png,,
data/0_input/handout-modified/train/55.png,su,
data/0_input/handout-modified/train/56.png,seguidor,"ſeguidor
"
data/0_input/handout-modified/test/57.png,,"deſpues
"
data/0_input/handout-modified/train/58.png,tiernos,
data/0_input/handout-modified/test/59.png,,
data/0_input/handout-modified/train/60.png,grandezas,
data/0_input/handout-modified/train/61.png,quien,"=D] >)
"
data/0_input/handout-modified/test/62.png,,"Rey
"
data/0_input/handout-modified/train/63.png,soberania,"TITADICA,
"
data/0_input/handout-modified/test/64.png,,
data/0_input/handout-modified/train/65.png,Oficios,"Oficios
"
data/0_input/handout-modified/train/66.png,posseen.,"po een
"
data/0_input/handout-modified/test/67.png,,"doos
"
data/0_input/handout-modified/train/68.png,gra-,
data/0_input/handout-modified/train/69.png,"Francisco,","‘rancilco
"
data/0_input/handout-modified/train/70.png,"das,","Las
"
data/0_input/handout-modified/train/71.png,enton-,"cnton-
"
data/0_input/handout-modified/train/72.png,"cubran,","cubran
"
data/0_input/handout-modified/test/73.png,,
data/0_input/handout-modified/train/74.png,sujeto,"¡jlugcrro
"
data/0_input/handout-modified/train/75.png,"Pontifice,","Ponritice
"
data/0_input/handout-modified/train/76.png,vuestra,
data/0_input/handout-modified/train/77.png,"ter,","Ll 28
"
data/0_input/handout-modified/train/78.png,pinas,"pirnas
"
data/0_input/handout-modified/test/79.png,,
data/0_input/handout-modified/test/80.png,,
data/0_input/handout-modified/train/81.png,buenos,"bDucnos
"
data/0_input/handout-modified/train/82.png,una,
data/0_input/handout-modified/train/83.png,los,"IFATa-
"
data/0_input/handout-modified/test/84.png,,
data/0_input/handout-modified/test/85.png,,"muda-
"
data/0_input/handout-modified/train/86.png,aprovecha-,"aprouecha
"
data/0_input/handout-modified/train/87.png,"visto,","izri/Eo
"
data/0_input/handout-modified/train/88.png,"mitas,",
data/0_input/handout-modified/test/89.png,,
data/0_input/handout-modified/train/90.png,plead,
data/0_input/handout-modified/test/91.png,,
data/0_input/handout-modified/train/92.png,Doctos:,
data/0_input/handout-modified/test/93.png,,
