image_path,transcription,prediction,correct_prediction,wer,cer
data/0_input/handout-modified/train/0.png,da,nan,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/1.png,CONSEJOS,CONSEJOS,True,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/2.png,buen,nan,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/4.png,calidad,calidad,True,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/5.png,feccion,feccion,True,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/6.png,mayor.,nan,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/8.png,dichoso,dichoso,True,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/9.png,"teles,",nan,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/10.png,"observase,",obervase,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/11.png,"honra,",nan,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/15.png,desde,nan,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/16.png,"mundo,",nan,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/18.png,Fiesta,Fiesta,True,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/21.png,alabareys.,alabareys.,True,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/22.png,enfadados,enfadados,True,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/25.png,fundamen,fundamen,True,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/26.png,"deuda,","devda,",False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/27.png,tienen,nan,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/28.png,cio,"cio,",False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/29.png,"entienden,",entienden,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/31.png,"descorteses,",nan,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/32.png,cabezas,cabecas,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/37.png,gloria.,gloiaz.,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/39.png,seguir,rego ie,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/42.png,viendole,viendol,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/43.png,cente,nan,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/46.png,"excelente,",excelente,False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/47.png,consiste,"Ciceron,",False,0.7513661202185792,0.4202959387134012
data/0_input/handout-modified/train/50.png,efecto,nan,False,0.7513661202185792,0.4202959387134012
